City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
394,Marsh Harbour,BS,26.5412,-77.0636,73.04,64,6,17.96,clear sky
395,Tarpon Springs,US,28.1461,-82.7568,70.95,82,0,5.01,clear sky
396,Mountain Home,US,43.133,-115.6912,26.94,100,0,10.36,clear sky
397,Kloulklubed,PW,7.0419,134.2556,86.5,74,28,20.4,scattered clouds
398,Grajau,BR,-5.8194,-46.1386,75.02,88,100,0.94,overcast clouds
399,Malpe,IN,13.35,74.7167,72.7,79,98,3.38,overcast clouds
400,San Francisco De Macoris,DO,19.2952,-70.2554,70.48,95,49,2.44,scattered clouds
401,Balvanesti,RO,44.7975,22.6803,27.32,71,100,1.77,overcast clouds
402,Arlit,NE,18.7369,7.3853,54.3,20,4,6.8,clear sky
403,Ternovskaya,RU,45.8542,40.4086,38.1,97,100,9.46,moderate rain
404,Altamira,BR,-3.2033,-52.2064,72.03,98,58,2.89,moderate rain
405,Colwyn Bay,GB,53.2948,-3.7267,42.76,94,100,10.0,moderate rain
406,Oranjestad,AW,12.524,-70.027,80.55,74,20,17.27,few clouds
407,Klaebu,NO,63.2976,10.4826,35.83,68,100,3.13,overcast clouds
408,Batticaloa,LK,7.7102,81.6924,76.6,76,4,1.21,clear sky
409,Laguna De Perlas,NI,12.3429,-83.6712,76.17,87,1,7.78,clear sky
410,Sumbe,AO,-11.2061,13.8437,73.63,82,94,4.76,overcast clouds
411,Mizdah,LY,31.4451,12.9801,42.71,88,0,3.11,clear sky
412,Shimoda,JP,34.6667,138.95,46.76,64,100,1.74,overcast clouds
413,Grindavik,IS,63.8424,-22.4338,27.07,68,40,24.16,scattered clouds
414,Lata,PT,40.1629,-8.3327,48.07,96,99,0.54,overcast clouds
415,Souillac,MU,-20.5167,57.5167,80.98,94,75,24.16,light rain
416,Orange,US,33.7,-117.7675,62.56,52,40,4.61,scattered clouds
417,Fairbanks,US,64.8378,-147.7164,1.6,53,0,8.05,clear sky
418,Sobolevo,RU,54.4299,31.8996,5.0,100,93,6.51,overcast clouds
419,Podhum,BA,43.7231,17.0011,34.36,79,100,4.09,overcast clouds
420,Sur,OM,22.5667,59.5289,67.5,48,0,2.93,clear sky
421,Erdaojiang,CN,41.7764,126.0319,8.15,72,59,7.65,broken clouds
422,Vardo,NO,70.3705,31.1107,26.58,62,100,13.06,light snow
423,Bambanglipuro,ID,-7.95,110.2833,76.6,68,97,1.68,overcast clouds
424,Kununurra,AU,-15.7667,128.7333,87.78,66,75,6.91,broken clouds
425,Viedma,AR,-40.8135,-62.9967,69.78,49,9,7.63,clear sky
426,Khash,IR,28.2211,61.2158,44.35,26,0,1.72,clear sky
427,Jacareacanga,BR,-6.2222,-57.7528,75.0,88,100,0.6,overcast clouds
428,Arsikere,IN,13.3139,76.2561,67.51,56,56,5.32,broken clouds
429,College,US,64.8569,-147.8028,1.58,54,0,8.05,clear sky
430,Paungde,MM,18.4833,95.5,75.78,32,2,12.28,clear sky
431,Camopi,GF,3.1655,-52.3158,71.92,99,100,1.9,light rain
432,Broken Hill,AU,-31.95,141.4333,71.31,33,0,19.57,clear sky
433,Sale,MA,34.0389,-6.8166,57.74,100,75,3.44,broken clouds
434,Betsiamites,CA,48.9413,-68.646,12.09,73,100,10.49,overcast clouds
435,Ndele,CF,8.4109,20.6473,68.32,21,36,5.41,scattered clouds
436,Houma,US,29.5958,-90.7195,46.99,99,100,12.86,light rain
437,Alice Springs,AU,-23.7,133.8833,74.75,35,98,13.8,overcast clouds
438,San Jose,US,37.3394,-121.895,57.4,47,75,0.0,broken clouds
439,Kushmurun,KZ,52.4503,64.6311,12.51,85,100,12.84,overcast clouds
440,Marzuq,YE,14.4,46.4667,57.87,30,5,3.06,clear sky
441,Yumen,CN,40.2833,97.2,17.44,30,86,12.44,overcast clouds
442,Macas,EC,-2.3167,-78.1167,69.01,94,98,1.16,light rain
443,Nalgonda,IN,17.05,79.2667,72.3,69,48,5.35,scattered clouds
444,Aswan,EG,24.0934,32.907,51.1,43,0,3.44,clear sky
445,Oktyabrskiy,RU,54.4815,53.471,30.88,97,100,11.97,light snow
446,Princeton,US,25.5384,-80.4089,75.02,87,1,4.0,clear sky
447,Assiniboia,CA,49.6334,-105.9845,-9.58,77,100,13.8,overcast clouds
448,Palmer,US,42.1584,-72.3287,45.91,88,100,3.44,mist
449,Ilukste,LV,55.9775,26.2966,15.98,98,83,3.62,broken clouds
450,Basco,PH,20.4487,121.9702,75.6,75,78,18.23,broken clouds
451,Lavrentiya,RU,65.5833,-171.0,1.08,56,0,22.12,clear sky
452,Maholi,IN,27.6667,80.4667,56.39,87,7,12.5,clear sky
453,Araouane,ML,18.9048,-3.5265,62.82,13,0,10.36,clear sky
454,Zhigansk,RU,66.7697,123.3711,-28.12,98,92,2.89,overcast clouds
455,Sabha,LY,27.0377,14.4283,46.51,66,0,9.33,clear sky
456,Kapit,MY,2.0167,112.9333,81.28,87,100,0.51,overcast clouds
457,Paamiut,GL,61.994,-49.6678,23.99,81,100,39.71,snow
458,Ussel,FR,45.55,2.3167,38.08,98,100,2.71,overcast clouds
459,Passos,BR,-20.7189,-46.6097,67.23,92,97,1.66,overcast clouds
460,Ketchikan,US,55.3422,-131.6461,46.38,99,100,8.05,moderate rain
461,Coihaique,CL,-45.5752,-72.0662,58.95,72,75,4.61,broken clouds
462,Gidole,ET,5.65,37.3667,58.84,46,96,3.85,overcast clouds
463,Novyy Buh,UA,47.6931,32.5216,23.4,84,57,12.1,broken clouds
464,Dalbandin,PK,28.8947,64.4101,45.46,32,0,4.7,clear sky
465,San Luis,AR,-33.295,-66.3356,64.56,80,70,16.89,broken clouds
466,Malakal,SS,9.5334,31.6605,74.41,24,24,5.37,few clouds
467,Lujiang,CN,31.2581,117.2817,37.45,67,81,3.13,broken clouds
468,Dzhalil,RU,55.0239,52.7358,28.65,98,100,7.99,snow
469,Alibag,IN,18.6411,72.8792,71.67,55,25,5.73,scattered clouds
470,Zhoucheng,CN,35.9122,116.3117,44.02,33,24,13.02,few clouds
471,Dingle,PH,10.9995,122.6711,80.76,79,81,16.53,broken clouds
472,Waddan,LY,29.1614,16.139,46.42,81,0,5.55,clear sky
473,Haines Junction,CA,60.7522,-137.5108,-0.15,99,100,3.62,light snow
474,Santa Cruz,BO,-17.8,-63.1667,76.46,88,40,8.05,scattered clouds
475,Belmonte,BR,-15.8631,-38.8828,79.3,81,93,5.28,overcast clouds
476,Saint-Denis,FR,48.9167,2.3333,46.76,91,100,4.0,overcast clouds
477,Nikel,RU,69.4128,30.222,-0.22,98,100,4.16,overcast clouds
478,Bairiki,KI,1.3292,172.9752,86.0,74,40,13.8,light rain
479,Moses Lake,US,47.1301,-119.2781,30.29,93,89,4.03,overcast clouds
480,Roald,NO,62.5833,6.1333,39.9,87,100,16.11,light rain
481,Sisimiut,GL,66.9395,-53.6735,10.69,76,85,30.44,overcast clouds
482,Cortez,US,37.3489,-108.5859,18.7,44,7,7.61,clear sky
483,Porto Velho,BR,-8.7619,-63.9039,77.05,94,0,2.3,clear sky
484,Matamoros,MX,25.5333,-103.25,57.45,40,7,1.52,clear sky
485,Jalu,LY,29.0331,21.5482,49.5,62,6,11.99,clear sky
486,Baglan,AF,36.1307,68.7083,38.82,38,0,3.96,clear sky
487,Cayenne,GF,4.9333,-52.3333,79.09,89,40,4.0,scattered clouds
488,Dubna,RU,56.7333,37.1667,17.92,97,100,1.92,light snow
489,Pochutla,MX,15.7432,-96.4661,70.11,74,0,3.56,clear sky
490,Slave Lake,CA,55.2834,-114.769,-4.02,65,20,8.05,few clouds
491,Kirakira,SB,-10.4544,161.9205,81.3,82,100,11.05,overcast clouds
492,Matara,LK,5.9485,80.5353,78.44,72,5,4.18,clear sky
493,Kamaishi,JP,39.2667,141.8833,34.75,50,98,13.78,overcast clouds
494,George,ZA,-33.963,22.4617,60.35,94,100,5.75,light rain
495,Atasu,KZ,48.6814,71.6433,0.01,82,0,5.55,clear sky
496,Aksu,CN,41.1231,80.2644,26.89,49,100,3.56,overcast clouds
497,Serov,RU,59.6033,60.5787,14.81,90,100,4.16,overcast clouds
498,Bilibino,RU,68.0546,166.4372,-4.25,69,0,3.67,clear sky
499,Margate,GB,51.3813,1.3862,48.88,84,100,20.8,overcast clouds
500,Umm Kaddadah,SD,13.6017,26.6876,64.92,18,2,20.71,clear sky
501,Prince George,CA,53.9166,-122.753,27.28,93,100,3.44,overcast clouds
502,Champerico,GT,14.3,-91.9167,80.35,69,15,6.62,few clouds
503,Morondava,MG,-20.2833,44.2833,78.42,87,34,4.47,scattered clouds
504,Shache,CN,38.4167,77.2406,27.1,42,95,3.6,overcast clouds
505,Monmouth,US,40.3001,-74.1663,52.16,93,100,16.24,moderate rain
506,Qena,EG,26.1615,32.7183,48.31,48,1,5.17,clear sky
507,Half Moon Bay,US,37.4636,-122.4286,57.45,73,40,10.36,mist
508,Necochea,AR,-38.5473,-58.7368,66.04,94,100,7.05,overcast clouds
509,Acucena,BR,-19.0731,-42.5464,68.52,97,100,2.71,overcast clouds
510,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,88,40,0.0,scattered clouds
511,Riberalta,BO,-10.9833,-66.1,73.08,97,99,2.8,overcast clouds
512,Cesvaine,LV,56.9667,26.3167,14.88,100,94,3.36,overcast clouds
513,Dragasani,RO,44.65,24.2667,26.19,64,54,4.18,broken clouds
514,Priargunsk,RU,50.3691,119.1012,-9.54,86,20,2.66,few clouds
515,Roebourne,AU,-20.7833,117.1333,92.79,42,74,12.24,broken clouds
516,Victoria,HK,22.2855,114.1577,60.24,77,67,1.99,broken clouds
517,Chute-Aux-Outardes,CA,49.1168,-68.399,10.71,61,75,8.05,broken clouds
518,Mahajanga,MG,-15.7167,46.3167,78.82,89,40,5.75,scattered clouds
519,Porto Novo,BJ,6.4965,2.6036,82.22,87,0,4.68,clear sky
520,Aksaray,TR,38.3726,34.0254,31.59,99,100,2.51,snow
