City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2022-01-24 20:30:15,73.5069,80.5464,10.45,85,100,32.7
1,Punta Arenas,CL,2022-01-24 20:30:15,-53.15,-70.9167,60.82,54,40,44.87
2,Lebu,CL,2022-01-24 20:30:16,-37.6167,-73.65,62.73,69,1,17.49
3,Tasiilaq,GL,2022-01-24 20:30:16,65.6145,-37.6368,23.16,63,100,10.09
4,Severo-Kurilsk,RU,2022-01-24 20:30:16,50.6789,156.125,21.56,69,98,9.37
5,Tuktoyaktuk,CA,2022-01-24 20:30:16,69.4541,-133.0374,6.8,85,40,16.11
6,Vila Franca Do Campo,PT,2022-01-24 20:30:17,37.7167,-25.4333,59.2,80,81,6.78
7,Hermanus,ZA,2022-01-24 20:30:17,-34.4187,19.2345,70.81,93,5,6.76
8,Zhezkazgan,KZ,2022-01-24 20:30:17,47.8043,67.7144,0.52,87,5,7.36
9,Albany,US,2022-01-24 20:26:46,42.6001,-73.9662,28.62,53,57,1.01
10,Kruisfontein,ZA,2022-01-24 20:30:18,-34.0033,24.7314,69.89,82,82,14.63
11,Carnarvon,AU,2022-01-24 20:30:18,-24.8667,113.6333,75.27,83,0,16.11
12,Soyo,AO,2022-01-24 20:30:18,-6.1349,12.3689,77.34,83,82,7.99
13,Mar Del Plata,AR,2022-01-24 20:30:19,-38.0023,-57.5575,80.62,73,20,4.0
14,Busselton,AU,2022-01-24 20:30:19,-33.65,115.3333,60.08,80,45,10.96
15,Klaksvik,FO,2022-01-24 20:30:19,62.2266,-6.589,38.32,70,100,13.47
16,Celestun,MX,2022-01-24 20:30:19,20.8667,-90.4,77.59,66,18,9.13
17,Kalaleh,IR,2022-01-24 20:30:20,37.3807,55.4916,41.36,37,0,7.16
18,Mataura,NZ,2022-01-24 20:30:20,-46.1927,168.8643,56.48,66,47,3.06
19,Victor Harbor,AU,2022-01-24 20:30:20,-35.5667,138.6167,77.9,90,70,5.79
20,Port Alfred,ZA,2022-01-24 20:30:21,-33.5906,26.891,70.61,88,30,21.21
21,Necochea,AR,2022-01-24 20:30:21,-38.5473,-58.7368,75.04,60,0,13.69
22,Leningradskiy,RU,2022-01-24 20:30:21,69.3833,178.4167,-15.81,86,100,10.56
23,Barrow,US,2022-01-24 20:30:03,71.2906,-156.7887,10.42,79,100,18.41
24,Castro,BR,2022-01-24 20:30:21,-24.7911,-50.0119,83.17,59,25,2.71
25,Lawton,US,2022-01-24 20:29:20,34.6087,-98.3903,64.63,26,0,0.0
